# ra(J2000),dec(J2000),amp(Jy/beam),rms(Jy/beam),FWHMy(arcsec),FWHMx(arcsec),Bpa(degrees),FieldName,"png image link (Notes: If a link fails, it's because the ROUND feature dropped trailing zeros in the coordinates, so try putting them in by hand. Some artifacts have been kept in, and are distiguished by very large FWHM in one axis and very narrow in another.)  ",NED Lookup,"[[prob Compact, prob Complex]] (output of binary CNN used to identify interesting and complex sources) "
228.9763,20.61318,0.000984,0.000116,2.619856,3.28462,9.702,VLASS1.1.ql.T16t21.J151453+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA228.976DEC20.613.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=228.9763&DEC=20.6132&SR=0.01,[[ 0.81732476  0.18267524]]
228.95891,22.89847,0.016883,0.000243,2.563684,2.40291,10.2047,VLASS1.1.ql.T16t21.J151505+223000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA228.959DEC22.898.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=228.9589&DEC=22.8985&SR=0.01,[[ 0.84625292  0.15374708]]
228.95094,20.02225,0.00489,0.000176,2.952006,4.88261,-9.8676,VLASS1.1.ql.T16t21.J151453+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA228.951DEC20.022.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=228.9509&DEC=20.0223&SR=0.01,[[ 0.69531894  0.30468103]]
228.94393,20.1387,0.002671,0.000125,2.606393,3.55824,11.9778,VLASS1.1.ql.T16t21.J151453+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA228.944DEC20.139.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=228.9439&DEC=20.1387&SR=0.01,[[ 0.95203817  0.04796185]]
228.93141,21.77372,0.000815,0.000121,8.265499,11.18697,9.3262,VLASS1.1.ql.T16t21.J151459+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA228.931DEC21.774.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=228.9314&DEC=21.7737&SR=0.01,[[ 0.17024404  0.82975596]]
228.92122,20.74765,0.002376,0.000126,6.684355,3.45442,-9.9779,VLASS1.1.ql.T16t21.J151453+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA228.921DEC20.748.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=228.9212&DEC=20.7477&SR=0.01,[[ 0.71074235  0.28925765]]
228.91425,21.1883,0.003668,0.000126,3.140014,2.60527,10.064,VLASS1.1.ql.T16t21.J151459+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA228.914DEC21.188.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=228.9143&DEC=21.1883&SR=0.01,[[ 0.74617743  0.25382254]]
228.90642,20.33613,0.002602,0.000118,2.887614,2.32699,10.3399,VLASS1.1.ql.T16t21.J151453+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA228.906DEC20.336.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=228.9064&DEC=20.3361&SR=0.01,[[ 0.67781663  0.32218331]]
228.8877,21.25877,0.005325,0.000129,2.312065,2.86572,-10.053,VLASS1.1.ql.T16t21.J151459+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA228.888DEC21.259.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=228.8877&DEC=21.2588&SR=0.01,[[ 0.68938851  0.31061155]]
228.87733,21.17059,0.001642,0.000119,2.372322,2.77845,11.8331,VLASS1.1.ql.T16t21.J151459+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA228.877DEC21.171.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=228.8773&DEC=21.1706&SR=0.01,[[ 0.54491234  0.45508769]]
228.87723,20.38438,0.00065,0.00013,7.509097,39.02895,10.0477,VLASS1.1.ql.T16t21.J151453+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA228.877DEC20.384.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=228.8772&DEC=20.3844&SR=0.01,[[ 0.12993157  0.87006843]]
